Individu - Code Etudiant;Individu - Nom;Individu - Prénom;ELP (code);ELP - Note Indicateur
20160018;NOM18;PRENOM18;712MD109;14,2
20160018;NOM18;PRENOM18;712MD113;8,5
20160018;NOM18;PRENOM18;712MD102;6,25
20160018;NOM18;PRENOM18;712MD116;10
20160018;NOM18;PRENOM18;712SEM12;9,742
20160018;NOM18;PRENOM18;712MD107;11
20160018;NOM18;PRENOM18;712MD112;9,655
20160018;NOM18;PRENOM18;712MD114;4,875
20160018;NOM18;PRENOM18;712MD117;14,2
20160018;NOM18;PRENOM18;712UE102;7,994
20160018;NOM18;PRENOM18;712UE111;11,49
20160018;NOM18;PRENOM18;712EN119;7
20160018;NOM18;PRENOM18;712MD106;14,94
20160018;NOM18;PRENOM18;712MD108;13,5
20160018;NOM18;PRENOM18;712MD111;7,5
20160018;NOM18;PRENOM18;712MD105;12,8
20160018;NOM18;PRENOM18;712MD118;7
20160019;NOM19;PRENOM19;712EN120;12,25
20160019;NOM19;PRENOM19;712MD110;7,628
20160019;NOM19;PRENOM19;712MD111;10,333
20160019;NOM19;PRENOM19;712UE111;11,315
20160019;NOM19;PRENOM19;712MD103;6
20160019;NOM19;PRENOM19;712MD114;12,938
20160019;NOM19;PRENOM19;712MD107;13
20160019;NOM19;PRENOM19;702FAC01;
20160019;NOM19;PRENOM19;712SEM12;10,145
20160019;NOM19;PRENOM19;712MD104;13
20160019;NOM19;PRENOM19;712MD112;7,665
20160019;NOM19;PRENOM19;712MD115;4,45
20160019;NOM19;PRENOM19;712MD106;11,735
20160019;NOM19;PRENOM19;712MD108;12,25
20160019;NOM19;PRENOM19;712MD101;10,13
20160019;NOM19;PRENOM19;712MD105;13,2
20160019;NOM19;PRENOM19;712MD109;10,1
20160019;NOM19;PRENOM19;712MD116;9,25
20160019;NOM19;PRENOM19;712MD102;10,375
20160019;NOM19;PRENOM19;712MD113;10
20160019;NOM19;PRENOM19;712MD117;10,1
20160019;NOM19;PRENOM19;712MD118;12,25
20160019;NOM19;PRENOM19;712UE102;8,975
